Copy of log.txt from the machine 


group_2@computeinstance-e00xk2gynn6a4mkthm:~/group_2$ cat log.txt
0 val 10.1465
249 val 6.2459
0 val 10.1465
250 val 6.0541
500 val 5.4303
750 val 4.9533
1000 val 4.6025
1250 val 4.3803
1500 val 4.2488
1750 val 4.1726
1999 val 4.1314
0 val 10.1465
250 val 6.0364
500 val 5.4004
750 val 4.8997
1000 val 4.4992
1250 val 4.2723
1500 val 4.1068
1750 val 3.9968
2000 val 3.9176
2250 val 3.8430
2500 val 3.7978
2750 val 3.7535
3000 val 3.7117
3250 val 3.6826
3500 val 3.6534
3750 val 3.6272
4000 val 3.6024
4250 val 3.5863
4500 val 3.5690
4750 val 3.5522
5000 val 3.5378
5250 val 3.5178
5500 val 3.5164
5750 val 3.4979
6000 val 3.4858
6250 val 3.4721
6500 val 3.4590
6750 val 3.4544
7000 val 3.4444
7250 val 3.4359
7500 val 3.4270
7750 val 3.4189
8000 val 3.4177
8250 val 3.4081
8500 val 3.3987
8750 val 3.3957
9000 val 3.3873
9250 val 3.3820
9500 val 3.3786
9750 val 3.3717
10000 val 3.3732
10250 val 3.3616
10500 val 3.3543
10750 val 3.3527
11000 val 3.3464
11250 val 3.3447
11500 val 3.3382
11750 val 3.3327
12000 val 3.3326
12250 val 3.3272
12500 val 3.3218
12750 val 3.3188
13000 val 3.3154
13250 val 3.3093
13500 val 3.3098
13750 val 3.3072
14000 val 3.3029
14250 val 3.3014
14500 val 3.3028
14750 val 3.2989
15000 val 3.2950
15250 val 3.2900
15500 val 3.2887
15750 val 3.2856
16000 val 3.2839

